"Year.of.Observation","Pinniped.Common.Name","cnt_all","strand_anom","MEI","NPGO","PDO","SST_39","SST_44","Upwelling_39","Upwelling_45","Wind_39","Wind_44","SST_39_anom","SST_44_anom"
2005,"Steller sea lion",17,-16.2307692307692,0.356333333333333,-1.381917955,0.375,12.2713333333333,12.7262222222222,59.0830166666667,-22.123925,-1.6639125,-0.526458222222222,0.37600160535117,0.150748173766652
2006,"California sea lion",116,35.5357142857143,0.333333333333333,-0.555042004166667,0.190833333333333,12.24875,11.7273333333333,89.6762416666667,-33.9206416666667,-0.45088,1.398406,0.218033830128205,-0.255186384294894
2006,"Harbor seal",124,55.0357142857143,0.333333333333333,-0.555042004166667,0.190833333333333,12.24875,11.7273333333333,89.6762416666667,-33.9206416666667,-0.45088,1.398406,0.218033830128205,-0.255186384294894
2006,"Steller sea lion",39,5.76923076923077,0.333333333333333,-0.555042004166667,0.190833333333333,12.24875,11.7273333333333,89.6762416666667,-33.9206416666667,-0.45088,1.398406,0.218033830128205,-0.255186384294894
2007,"California sea lion",108,27.5357142857143,-0.316583333333333,0.593098209166667,-0.195833333333333,11.5585454545455,12.0481818181818,101.763666666667,-17.00995,-3.17293,-0.0447354545454545,-0.338101015506234,-0.0181124192307939
2007,"Harbor seal",104,35.0357142857143,-0.316583333333333,0.593098209166667,-0.195833333333333,11.5585454545455,12.0481818181818,101.763666666667,-17.00995,-3.17293,-0.0447354545454545,-0.338101015506234,-0.0181124192307939
2007,"Steller sea lion",111,77.7692307692308,-0.316583333333333,0.593098209166667,-0.195833333333333,11.5585454545455,12.0481818181818,101.763666666667,-17.00995,-3.17293,-0.0447354545454545,-0.338101015506234,-0.0181124192307939
2008,"California sea lion",120,39.5357142857143,-0.6485,1.45527457083333,-1.2925,10.93375,11.6178,116.512108333333,-8.4657,-3.3257075,-0.8010407,-0.961581727982163,-0.711716643610014
2008,"Harbor seal",101,32.0357142857143,-0.6485,1.45527457083333,-1.2925,10.93375,11.6178,116.512108333333,-8.4657,-3.3257075,-0.8010407,-0.961581727982163,-0.711716643610014
2008,"Steller sea lion",76,42.7692307692308,-0.6485,1.45527457083333,-1.2925,10.93375,11.6178,116.512108333333,-8.4657,-3.3257075,-0.8010407,-0.961581727982163,-0.711716643610014
2009,"California sea lion",363,282.535714285714,0.4085,0.73691483,-0.6125,11.2064166666667,11.4874166666667,90.1843583333333,-21.7834166666667,-3.15302333333333,-0.10389575,-0.688915061315497,-0.495103050961561
2009,"Harbor seal",125,56.0357142857143,0.4085,0.73691483,-0.6125,11.2064166666667,11.4874166666667,90.1843583333333,-21.7834166666667,-3.15302333333333,-0.10389575,-0.688915061315497,-0.495103050961561
2009,"Steller sea lion",73,39.7692307692308,0.4085,0.73691483,-0.6125,11.2064166666667,11.4874166666667,90.1843583333333,-21.7834166666667,-3.15302333333333,-0.10389575,-0.688915061315497,-0.495103050961561
2010,"California sea lion",370,289.535714285714,-0.365833333333333,1.3685688725,-0.3125,11.4386666666667,12.0105833333333,62.41455,-56.86565,-2.14105727272727,0.879556333333333,-0.456665061315497,0.0280636157051058
2010,"Harbor seal",128,59.0357142857143,-0.365833333333333,1.3685688725,-0.3125,11.4386666666667,12.0105833333333,62.41455,-56.86565,-2.14105727272727,0.879556333333333,-0.456665061315497,0.0280636157051058
2010,"Steller sea lion",64,30.7692307692308,-0.365833333333333,1.3685688725,-0.3125,11.4386666666667,12.0105833333333,62.41455,-56.86565,-2.14105727272727,0.879556333333333,-0.456665061315497,0.0280636157051058
2011,"California sea lion",120,39.5357142857143,-0.9075,0.857692195833333,-1.23083333333333,11.890375,12.2397142857143,100.035358333333,-31.005225,-2.605775,0.291517727272727,-0.412918615523969,-0.162109707321664
2011,"Harbor seal",141,72.0357142857143,-0.9075,0.857692195833333,-1.23083333333333,11.890375,12.2397142857143,100.035358333333,-31.005225,-2.605775,0.291517727272727,-0.412918615523969,-0.162109707321664
2011,"Steller sea lion",45,11.7692307692308,-0.9075,0.857692195833333,-1.23083333333333,11.890375,12.2397142857143,100.035358333333,-31.005225,-2.605775,0.291517727272727,-0.412918615523969,-0.162109707321664
2012,"California sea lion",82,1.53571428571429,0.169166666666667,1.4765224,-1.1,11.5450833333333,11.54,102.981908333333,-46.621225,-2.62314166666667,1.83901057142857,-0.35024839464883,-0.442519717628228
2012,"Harbor seal",140,71.0357142857143,0.169166666666667,1.4765224,-1.1,11.5450833333333,11.54,102.981908333333,-46.621225,-2.62314166666667,1.83901057142857,-0.35024839464883,-0.442519717628228
2012,"Steller sea lion",74,40.7692307692308,0.169166666666667,1.4765224,-1.1,11.5450833333333,11.54,102.981908333333,-46.621225,-2.62314166666667,1.83901057142857,-0.35024839464883,-0.442519717628228
2013,"California sea lion",101,20.5357142857143,-0.103583333333333,0.34436469,-0.5175,11.3266666666667,11.7335833333333,151.065383333333,0.634033333333333,-3.83557583333333,-0.875774416666667,-0.568665061315497,-0.248936384294894
2013,"Harbor seal",89,20.0357142857143,-0.103583333333333,0.34436469,-0.5175,11.3266666666667,11.7335833333333,151.065383333333,0.634033333333333,-3.83557583333333,-0.875774416666667,-0.568665061315497,-0.248936384294894
2013,"Steller sea lion",70,36.7692307692308,-0.103583333333333,0.34436469,-0.5175,11.3266666666667,11.7335833333333,151.065383333333,0.634033333333333,-3.83557583333333,-0.875774416666667,-0.568665061315497,-0.248936384294894
2014,"California sea lion",94,13.5357142857143,0.491666666666667,-0.251159114166667,1.13083333333333,13.16075,12.4470833333333,97.0734083333333,-32.4760166666667,-1.97883,-0.1809957,1.26541827201784,0.464563615705106
2014,"Harbor seal",95,26.0357142857143,0.491666666666667,-0.251159114166667,1.13083333333333,13.16075,12.4470833333333,97.0734083333333,-32.4760166666667,-1.97883,-0.1809957,1.26541827201784,0.464563615705106
2014,"Steller sea lion",64,30.7692307692308,0.491666666666667,-0.251159114166667,1.13083333333333,13.16075,12.4470833333333,97.0734083333333,-32.4760166666667,-1.97883,-0.1809957,1.26541827201784,0.464563615705106
2015,"California sea lion",158,77.5357142857143,1.63758333333333,-1.39691805,1.63416666666667,12.748875,13.0754166666667,91.819675,-19.0296583333333,-2.8482025,-1.23257833333333,0.994586366360089,1.09289694903844
2015,"Harbor seal",117,48.0357142857143,1.63758333333333,-1.39691805,1.63416666666667,12.748875,13.0754166666667,91.819675,-19.0296583333333,-2.8482025,-1.23257833333333,0.994586366360089,1.09289694903844
2015,"Steller sea lion",78,44.7692307692308,1.63758333333333,-1.39691805,1.63416666666667,12.748875,13.0754166666667,91.819675,-19.0296583333333,-2.8482025,-1.23257833333333,0.994586366360089,1.09289694903844
2016,"California sea lion",155,74.5357142857143,0.896,-0.0616944364166667,1.5425,12.3861666666667,13.0293333333333,83.759675,-55.372625,-1.67022833333333,1.09313381818182,1.15397914251208,1.04681361570511
2016,"Harbor seal",128,59.0357142857143,0.896,-0.0616944364166667,1.5425,12.3861666666667,13.0293333333333,83.759675,-55.372625,-1.67022833333333,1.09313381818182,1.15397914251208,1.04681361570511
2016,"Steller sea lion",54,20.7692307692308,0.896,-0.0616944364166667,1.5425,12.3861666666667,13.0293333333333,83.759675,-55.372625,-1.67022833333333,1.09313381818182,1.15397914251208,1.04681361570511
