"Year.of.Observation","Pinniped.Common.Name","HI.Prev","Boat","Gunshot","Fisheries","Other"
2011,"Harbor seal",0.152173913043478,0.00592885375494071,0.00988142292490119,0.0316205533596838,0.100790513833992
2011,"Northern elephant seal",0.151515151515152,0.0303030303030303,0.0303030303030303,0,0.0909090909090909
2011,"Northern fur seal",0.2,0,0,0.2,0
2011,"Steller sea lion",0.102941176470588,0.0147058823529412,0.0735294117647059,0.0147058823529412,0
2011,"Unidentified",0,0,0,0,0
2012,"California sea lion",0.350877192982456,0.043859649122807,0.228070175438596,0.0350877192982456,0.0701754385964912
2012,"Guadalupe fur seal",0.163636363636364,0,0.0181818181818182,0.109090909090909,0.0909090909090909
2012,"Harbor seal",0.147252747252747,0.0175824175824176,0.0307692307692308,0.032967032967033,0.0747252747252747
2012,"Northern elephant seal",0.259259259259259,0,0.185185185185185,0,0.111111111111111
2012,"Northern fur seal",0.368421052631579,0,0,0.210526315789474,0.0526315789473684
2012,"Steller sea lion",0.25,0,0.159090909090909,0.0568181818181818,0.0227272727272727
2012,"Unidentified",0,0,0,0,0
2013,"California sea lion",0.31858407079646,0.00884955752212389,0.20353982300885,0.0265486725663717,0.0973451327433628
2013,"Guadalupe fur seal",0,0,0,0,0
2013,"Harbor seal",0.195945945945946,0.0112612612612613,0.0247747747747748,0.0315315315315315,0.105855855855856
2013,"Northern elephant seal",0.0526315789473684,0,0,0,0.0526315789473684
2013,"Northern fur seal",0,0,0,0,0
2013,"Steller sea lion",0.275,0,0.2,0.0625,0.0125
2013,"Unidentified",0.166666666666667,0,0.0833333333333333,0,0.0833333333333333
2014,"California sea lion",0.219298245614035,0.0087719298245614,0.192982456140351,0.0087719298245614,0.0526315789473684
2014,"Guadalupe fur seal",0,0,0,0,0
2014,"Harbor seal",0.124121779859485,0.00468384074941452,0.0210772833723653,0.0257611241217799,0.0843091334894614
2014,"Northern elephant seal",0.0416666666666667,0,0.0416666666666667,0,0
2014,"Northern fur seal",0.4,0,0,0.3,0.1
2014,"Steller sea lion",0.217948717948718,0,0.166666666666667,0.0256410256410256,0.0256410256410256
2014,"Unidentified",0,0,0,0,0
2015,"California sea lion",0.28021978021978,0.010989010989011,0.181318681318681,0.0274725274725275,0.0604395604395604
2015,"Guadalupe fur seal",0,0,0,0,0
2015,"Harbor seal",0.175202156334232,0.0134770889487871,0.0404312668463612,0.0404312668463612,0.078167115902965
2015,"Northern elephant seal",0,0,0,0,0
2015,"Northern fur seal",0.333333333333333,0,0,0,0.333333333333333
2015,"Steller sea lion",0.224719101123595,0,0.179775280898876,0.0224719101123595,0.0337078651685393
2015,"Unidentified",0.1,0,0.1,0,0
2016,"California sea lion",0.161290322580645,0,0.129032258064516,0,0.0376344086021505
2016,"Guadalupe fur seal",0.192307692307692,0,0,0.0769230769230769,0.115384615384615
2016,"Harbor seal",0.127272727272727,0.00454545454545455,0.0181818181818182,0.0431818181818182,0.0636363636363636
2016,"Northern elephant seal",0.142857142857143,0,0.0476190476190476,0.0476190476190476,0.0476190476190476
2016,"Northern fur seal",0.166666666666667,0,0,0.166666666666667,0
2016,"Steller sea lion",0.243243243243243,0.0135135135135135,0.175675675675676,0.027027027027027,0.027027027027027
2016,"Unidentified",0.105263157894737,0,0,0.0526315789473684,0.0526315789473684
