"National.Database.Number","Field.Number","Common.Name","Genus","Species","Affiliation","Country","City","County","State","Locality.Detail","Latitude","Longitude","Restrand","Findings.of.Human.Interaction","Boat.Collision","Shot","Fishery.Interaction","Other.Human.Interaction","Other.Human.Int.Description","Gear.Collection.Flag","Gear.Disposition.Flag","Other.Findings.upon.Level.Y.N","Other.Findings...Illness.Flag","Other.Findings...Injury.Flag","Other.Findings...Pregnant.Flag","Year.of.Observation","Month.of.Observation","Day.of.Observation","How.Observed","Observation.Status","Disentangled.Flag","Sick.Flag","Injured.Flag","Out.of.Habitat.Flag","Abandoned.Orphaned.Flag","Location.Hazardous.to.Animal","Location.Hazardous.Public","Entangled.Flag","Sex","Age.Class","Length","Length.Units","Weight","Weight.Units","Necropsied.Flag","City...from.strandings.table","Mammal.Type","Interaction.Type","Pinniped.Common.Name"
"NW-2011-1142111","WDFW2011-182","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Seattle","King","WA","West Seattle - Alki Beach",47.5842,-122.4005,"Y","Y","N","N","N","Y",NA,NA,NA,NA,NA,"N",NA,2011,"NOV",3,"Beach or Land","ALIVE","N","N","N","N","N","Y","N",NA,"Unid","Pup",NA,NA,NA,NA,"N",NA,"Pinniped","Other","Harbor seal"
"NW-2009-1093989","WDFW2009-003","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Seattle","King","WA","Lincoln Park",47.5311,-122.4007,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2009,"JAN",14,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Yearling",99,"cm",16,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142121","WDFW2011-001","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Seattle","King","WA","Lincoln Park",47.531,-122.4008,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2011,"JAN",3,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Pup",84,"cm",12,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1132445","WDFW2010-164","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Seattle","King","WA","Alki Beach",47.5836,-122.4013,"N","Y","N","N","N","Y",NA,NA,NA,"Y",NA,"Y",NA,2010,"OCT",1,"Beach or Land","ALIVE","N","N","N","N","N","N","N",NA,"Female","Pup",81,"cm",13.5,"kg","Y",NA,"Pinniped","Other","Harbor seal"
"NW-2008-1085701","WDFW2008-025","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Seattle","King","WA","Lincoln Park, Seattle",47.5255,-122.4015,"Y","Y","N","N","N","N",NA,NA,NA,"Y","Y","N",NA,2008,"MAR",20,"Beach or Land","ALIVE","N","Y","N","N","N","N","N",NA,"Female","Yearling",82,"cm",10.2,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142202","WDFW2011-142","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Seattle","King","WA","Lincoln Park West Seattle",47.5303,-122.4015,"N","CBD","N","N","N","N",NA,NA,NA,"Y",NA,"Y",NA,2011,"SEP",25,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Pup",81,"cm",13,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142187","WDFW2011-126","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Seattle","King","WA","Alki Beach",47.583,-122.402,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2011,"SEP",2,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Female","Pup",100,"cm",18,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2008-1086107","WDFW2008-009","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Seattle","King","WA","Shilshole marina",47.6861,-122.4028,"N","N","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"JAN",16,"Floating","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Yearling",82,"cm",13,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2008-1086105","WDFW2008-008","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Seattle","King","WA","Shilshole Marina",47.6753,-122.4031,"N","N","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"JAN",16,"Floating","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Yearling",80,"cm",12,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1120857","WDFW2010-053","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Seattle","King","WA","Golden Gardens park in front of restrooms",47.6916,-122.4044,"N","Y","N","N","N","Y",NA,NA,NA,NA,NA,"N",NA,2010,"APR",18,"Beach or Land","ALIVE","N","N","Y","N","N","N","N",NA,"Male","Adult",215,"cm",250,"kg","Y",NA,"Pinniped","Other","California sea lion"
"NW-2013-1152540","WDFW2013-021","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Seattle","King","WA","Golden Gardens",47.6922,-122.4051,"N","CBD","N","N","N","N",NA,NA,NA,"Y",NA,"Y","N",2013,"MAR",26,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Pup",88,"cm",13,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1120831","WDFW2010-029","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Seattle","King","WA","Beach Drive across from Alki Park",47.5803,-122.4081,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2010,"FEB",11,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Adult",155,"cm",58,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1120829","WDFW2010-027","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Seattle","King","WA","3647 Beach Drive, West Seattle, Alki",47.571,-122.4116,"N","Y","N","Y","N","N",NA,NA,NA,NA,NA,"N",NA,2010,"FEB",10,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",228,"cm",250,"kg","Y",NA,"Pinniped","Gunshot","California sea lion"
"NW-2010-1120828","WDFW2010-026","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Seattle","King","WA","3440 Beach Drive, Alki",47.5729,-122.4148,"N","Y","N","Y","N","N",NA,NA,NA,NA,NA,"N",NA,2010,"FEB",7,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",242,"cm",300,"kg","Y",NA,"Pinniped","Gunshot","California sea lion"
"NW-2010-1132517","WDFW2010-065","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Seattle","King","WA","3039 Alki Avenue Southwest",45.5776,-122.4176,"N","CBD","N","N","N","N",NA,NA,NA,"Y",NA,"Y",NA,2010,"MAY",17,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Yearling",88,"cm",12,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1132415","WDFW2010-129","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Seattle","King","WA","Alki Beach, near the lighthouse",47.5758,-122.4206,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2010,"AUG",30,"Beach or Land","ALIVE","N","N","N","N","N","N","N",NA,"Male","Pup",77,"cm",7,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2008-1085967","WDFW2008-031","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Seattle","King","WA","south of Fauntleroy ferry terminal, Seattle",47.1846,-122.5354,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"MAR",31,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Adult",172,"cm",63,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1132532","WDFW2010-084","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Seattle","King","WA","Alki",47.595,-122.9877,"N","Y","N","N","N","Y",NA,NA,NA,NA,NA,NA,NA,2010,"JUN",30,"Swimming","ALIVE","N","N","N","N","N","N","N",NA,"Male","Adult",143,"cm",49,"kg","Y",NA,"Pinniped","Other","Harbor seal"
"NW-2004-1043985","WDFW1004-07","Sea lion, California","Zalophus","californianus","Washington Department of Fish and Wildlife","United States","Seattle","King","WA","Akli Boat Ramp",47.578,-122.415,"N","Y","N","Y","N","N",NA,"N",NA,"N","N","N",NA,2004,"NOV",16,NA,"FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Adult",235,"cm",350,"kg","Y",NA,"Pinniped","Gunshot","California sea lion"
"NW-2004-1043987","WDFW1104-07","Sea lion, California","Zalophus","californianus","Washington Department of Fish and Wildlife","United States","Seattle","King","WA","Alki Boat ramp",47.578,-122.415,"N","Y","N","Y","N","N",NA,"N",NA,"N","N","N",NA,2004,"NOV",16,NA,"FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Unid",235,"cm",350,"kg","Y",NA,"Pinniped","Gunshot","California sea lion"
"NW-2003-1001841","wdfw1003-01","Seal, harbor","Phoca","vitulina","Washington Department of Fish and Wildlife","United States","Seattle","King","WA","Harbor Island marina, Duwamish River",47.578,-122.415,NA,"N","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2003,"OCT",26,NA,"ALIVE","N","Y","N","N","N","N","N",NA,"Male","Pup",84,"cm",9,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2004-1002248","wdfw0204-01","Seal, harbor","Phoca","vitulina","Washington Department of Fish and Wildlife","United States","Seattle","King","WA","Alki. Calfornia and Harbor Ave.",47.578,-122.415,NA,"N","N","N","N","N",NA,NA,NA,"CBD",NA,NA,NA,2004,"JAN",31,NA,"ALIVE","N","Y","N","N","N","N","N",NA,"Female","Yearling",95,"cm",14,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2004-1028452","WDFW0404-04","Seal, harbor","Phoca","vitulina","Washington Department of Fish and Wildlife","United States","Seattle","King","WA","Discovery Park",47.578,-122.415,NA,"N","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2004,"APR",17,"Beach or Land","ALIVE","N","Y","N","N","N","N","N",NA,"Unid","Yearling",24,"in",NA,NA,"N",NA,"Pinniped","NA","Harbor seal"
"NW-2004-1029171","WDFW0404-05","Seal, harbor","Phoca","vitulina","Washington Department of Fish and Wildlife","United States","Seattle","King","WA","Golden Gardens, Shilshole",47.578,-122.415,NA,"N","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2004,"APR",24,NA,"ALIVE","N","Y","N","N","N","N","N",NA,"Male","Pup",24,"in",10,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2003-1002215","WDFW1203-02","Seal, harbor","Phoca","vitulina","Washington Department of Fish and Wildlife","United States","Seattle","King","WA","8001 Seaview Ave.",47.578,-122.415,NA,"CBD","N","N","N","N",NA,NA,NA,"CBD",NA,NA,NA,2003,"DEC",14,NA,"ALIVE","N","Y","N","N","N","N","N",NA,"Unid","Pup",90,"cm",12,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2004-1002247","wdfw0104-11","Seal, harbor","Phoca","vitulina","Washington Department of Fish and Wildlife","United States","Seattle","King","WA","56th and Alki Beach",47.578,-122.415,NA,"CBD","N","N","N","N",NA,NA,NA,"CBD",NA,NA,NA,2004,"JAN",25,"Beach or Land","ALIVE","N","Y","N","N","N","N","N",NA,"Unid","Yearling",90,"cm",12,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2004-1042737","WDFW0604-15","Seal, harbor","Phoca","vitulina","Washington Department of Fish and Wildlife","United States","Seattle","King","WA","Lincoln Park",47.578,-122.415,"N","CBD","N","N","N","N",NA,"N",NA,"CBD","N","N",NA,2004,"JUN",27,"Beach or Land","DEAD - CONDITION UNKNOWN","N","N","N","N","N","N","N",NA,"Unid","Adult",60,"in",NA,NA,"N",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142150","WDFW2011-058","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Seaview","Pacific","WA","4/10 mi. south of main beach access",46.1185,-123.9705,"N","Y","N","N","N","Y",NA,NA,NA,"Y","Y","N",NA,2011,"JUN",21,"Beach or Land","ALIVE","N","Y","N","N","N","N","N",NA,"Male","Adult",152,"cm",70,"kg","Y",NA,"Pinniped","Other","Harbor seal"
"NW-2011-1142151","WDFW2011-059","Seal, Northern fur","Callorhinus","ursinus","WDFW/MMI",NA,"Seaview","Pacific","WA","1 mi. North of main beach access",46.336,-124.067,"N","Y","N","N","Y","N",NA,NA,NA,"Y",NA,"Y",NA,2011,"JUN",22,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Subadult",100,"cm",15,"kg","Y",NA,"Pinniped","Fisheries","Northern fur seal"
"NW-2013-1154550","WDFW2013-110","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Seaview","Pacific","WA",".5 Mile S. of Beach Access in creek of 30th",46.323,-124.0673,"N","CBD","N","N","N","N",NA,NA,NA,"Y","Y","N",NA,2013,"NOV",29,"Beach or Land","ALIVE","N","Y","N","N","N","N","N",NA,"Male","Adult",227,"cm",250,"kg","Y",NA,"Pinniped","NA","California sea lion"
"NW-2009-1104409","WDFW2009-053","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Seaview","Pacific","WA","1.7 mile south of Seaview, WA near Longbeach",46.3274,-124.0681,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2009,"JUN",30,"Beach or Land","ALIVE","N","N","N","N","N","N","N",NA,"Female","Adult",151,"cm",64,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142127","WDFW2011-009","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Seaview","Pacific","WA","1/2 mile south of beach access",46.3275,-124.0683,"N","Y","N","N","N","Y",NA,NA,NA,"Y","Y","N",NA,2011,"FEB",9,"Beach or Land","ALIVE","N","Y","N","N","N","N","N",NA,"Male","Adult",163,"cm",89,"kg","Y",NA,"Pinniped","Other","Harbor seal"
"NW-2013-1152559","WDFW2013-031","Sea lion, Steller","Eumetopias","jubatus","WDFW/MMI",NA,"Seaview","Pacific","WA","2 miles south of Seaview/Beard's Hollow",46.3245,-124.0686,"N","CBD","N","N","N","N",NA,NA,NA,"Y","Y","N",NA,2013,"MAY",7,"Beach or Land","ALIVE","N","Y","N","N","N","N","N",NA,"Female","Adult",236,"cm",250,"kg","Y",NA,"Pinniped","NA","Steller sea lion"
"NW-2004-1043723","WDFW0604-14","Seal, harbor","Phoca","vitulina","Washington Department of Fish and Wildlife","United States","Semihamoo","Whatcom","WA","In front of Semihamoo motel",NA,NA,"N","CBD","N","N","N","N",NA,"N",NA,"CBD","N","N",NA,2004,"JUN",26,"Beach or Land","ALIVE","N","N","N","N","N","N","N",NA,"Unid","Unid",24,"in",10,"lb","N",NA,"Pinniped","NA","Harbor seal"
"NW-2004-1042463","WDFW0704-09A","Seal, harbor","Phoca","vitulina","Washington Department of Fish and Wildlife","United States","Sequim","Clallam","WA","Diamond Point Beach",48.167472,-123.16075,"N","CBD","N","N","N","N",NA,"N",NA,"CBD","N","N",NA,2004,"JUL",25,NA,"FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Unid",48,"in",45,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2015-1182233","WDFW2015-070","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Silverdale","Kitsap","WA","Old Mill Park, Silverdale",47.5869,-122.5307,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,"N",2015,"AUG",21,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Pup",90,"cm",18,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2012-1152496","WDFW2012-199","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Silverdale","Kitsap","WA","Old mill park",47.6491,-122.6879,"N","Y","N","N","N","Y",NA,NA,NA,"Y",NA,"Y",NA,2012,"OCT",31,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Pup",95,"cm",15,"kg","N",NA,"Pinniped","Other","Harbor seal"
"NW-2008-1086093","WDFW2008-114","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Silverdale","Kitsap","WA","Water front park",47.6474,-122.6884,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"SEP",27,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Pup",90,"cm",15,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2007-1078171","WDFW1207-08","Sea lion, California","Zalophus","californianus","WDFW Marine Mammal Investigations",NA,"Silverdale","Kitsap","WA","Old town dock",47.6396,-122.6893,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2007,"DEC",21,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",220,"cm",300,"kg","N",NA,"Pinniped","NA","California sea lion"
"NW-2008-1086037","WDFW2008-128","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Silverdale","Kitsap","WA","3113 Bucklin Dr. NW",47.6498,-122.6922,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"NOV",12,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Female","Adult",140,"cm",70,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2012-1152455","WDFW2012-095","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Silverdale","Kitsap","WA","8242 Silverdale Way, Silverdale, Dyes Inlet",47.6383,-122.701,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,"N",2012,"JUN",24,"Beach or Land","ADVANCED DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",150,"cm",70,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1132566","WDFW2010-116","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Silverdale","Kitsap","WA","South of Bangor",47.7192,-122.7484,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2010,"AUG",14,"Beach or Land","ALIVE","N","N","N","N","N","N","N",NA,"Male","Pup",71,"cm",8,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2005-1044487","WDFW0405-02","Seal, harbor","Phoca","vitulina","Washington Department of Fish and Wildlife","United States","Silverdale","Kitsap","WA","nd of Bryon St.In front on Yacht Club Restuarant, Siverdale",47.6383,-122.701,"N","Y","N","Y","N","N",NA,"N",NA,"N","N","N",NA,2005,"APR",13,NA,"ALIVE","N","Y","Y","N","N","Y","Y",NA,"Female","Unid",139,"cm",55,"kg","Y",NA,"Pinniped","Gunshot","Harbor seal"
"NW-2015-1179499","WDFW2015-010","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"South Bend","Pacific","WA","Rose Ranch",46.603,-123.9195,"N","Y","N","N","N","Y",NA,NA,NA,NA,NA,"N",NA,2015,"JAN",27,"Beach or Land","ALIVE","N","N","N","Y","N","N","N",NA,"Male","Subadult",200,"cm",150,"kg","N",NA,"Pinniped","Other","California sea lion"
"NW-2008-1086079","WDFW2008-107","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Steilacoom","Pierce","WA","Sunnyside Beach",47.2825,-122.5066,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"SEP",7,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Pup",81,"cm",10.4,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2009-1093969","WDFW2009-009","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Steilacoom","Pierce","WA","North of Salters Point",47.1847,-122.5361,"N","Y","N","Y","N","N",NA,NA,NA,"Y",NA,"Y",NA,2009,"FEB",14,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",260,"cm",400,"kg","Y",NA,"Pinniped","Gunshot","California sea lion"
"NW--1078057","WDFW0907-09","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations",NA,"Steilacoom","Pierce","WA","N of Chambers Creek, just S of new golf course",47.1926,-122.5765,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2007,"SEP",12,NA,"FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Pup",82,"cm",12,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2007-1078049","WDFW0907-07","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations",NA,"Steilacoom","Pierce","WA","Just N of Chambers Creek",47.1926,-122.5765,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2007,"SEP",11,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Pup",101,"cm",28,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2007-1078059","WDFW0907-10","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations",NA,"Steilacoom","Pierce","WA","N of Chambers Creek, in front of new golf course",47.1926,-122.5765,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2007,"SEP",13,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Female","Pup",83,"cm",9.5,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2007-1078065","WDFW0907-11","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations",NA,"Steilacoom","Pierce","WA","N of Chambers Creek",47.1926,-122.5765,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2007,"SEP",11,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Adult",160,"cm",80,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1120860","WDFW2010-056","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Steilacoom","Pierce","WA","Inside Chambers Creek past marina",47.1846,-122.5816,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2010,"APR",26,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Yearling",90,"cm",15,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2007-1078079","WDFW0907-18","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations",NA,"Steilacoom","Pierce","WA","N. Of chamber Creek",47.1921,-122.5825,"N","Y","N","N","N","Y",NA,NA,NA,NA,NA,"N",NA,2007,"SEP",24,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Pup",92,"cm",11,"kg","Y",NA,"Pinniped","Other","Harbor seal"
"NW-2015-1182239","WDFW2015-078","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Steilacoom","Pierce","WA","Chambers Bay Marina",47.184,-122.583,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2015,"SEP",11,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Pup",90,"cm",13,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1132487","WDFW2010-126","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Steilacoom","Pierce","WA","North of Sunnyside Beach, South of Golf Course",47.1902,-122.5836,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2010,"AUG",28,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Adult",150,"cm",80,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142175","WDFW2011-028","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Steilacoom","Pierce","WA","Sunny Side Park",47.173,-122.5875,"N","N","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2011,"MAY",22,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Pup",64,"cm",7,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2008-1085985","WDFW2008-040","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Steilacoom","Pierce","WA","Sunny Side Beach",47.1733,-122.5875,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"MAY",4,"Beach or Land","ALIVE","N","N","N","N","N","N","N",NA,"Unid","Adult",48,"in",120,"lb","N",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1132380","WDFW2010-108","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Steilacoom","Pierce","WA","South of Steilacoom Golf Course",47.182,-122.5875,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2010,"AUG",5,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Pup",97,"cm",22,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2007-1078051","WDFW0907-08","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations",NA,"Steilacoom","Pierce","WA","Sunnyside Beach",47.1731,-122.5878,"N","N","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2007,"SEP",11,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Pup",81,"cm",19,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2013-1154572","WDFW2013-096","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Steilacoom","Pierce","WA","Just north of Sunnyside Beach access",47.1808,-122.588,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2013,"SEP",22,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Pup",90,"cm",15,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2012-1152651","WDFW2012-146","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Steilacoom","Pierce","WA","Sunnyside beach Just n. of the bathrooms",47.1797,-122.589,"N","CBD","N","N","N","Y",NA,NA,NA,NA,NA,NA,NA,2012,"AUG",24,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Pup",79,"cm",12.6,"kg","Y",NA,"Pinniped","Other","Harbor seal"
"NW-2011-1142243","WDFW2011-203","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Steilacoom","Pierce","WA","Sunnyside Beach",47.1798,-122.589,"N","Y","N","Y","N","N",NA,NA,NA,NA,NA,"N",NA,2011,"DEC",18,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Adult",241,"cm",350,"kg","Y",NA,"Pinniped","Gunshot","California sea lion"
"NW-2010-1132467","WDFW2010-115restrand","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Steilacoom","Pierce","WA","Sunnyside Beach North end",47.1798,-122.5891,"Y","Y","N","N","N","Y",NA,NA,NA,"Y","Y","N",NA,2010,"AUG",18,"Beach or Land","ALIVE","N","Y","N","N","N","N","N",NA,"Male","Pup",77,"cm",12,"kg","N",NA,"Pinniped","Other","Harbor seal"
"NW-2010-1132473","WDFW2010-115","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Steilacoom","Pierce","WA","Sunnyside Beach by bathroom",47.1791,-122.5897,"N","Y","N","N","N","Y",NA,NA,NA,NA,NA,"N",NA,2010,"AUG",14,"Beach or Land","ALIVE","N","N","N","N","N","Y","N",NA,"Male","Pup",77,"cm",12,"kg","N",NA,"Pinniped","Other","Harbor seal"
