"Month.of.Observation","Date","MEI","NPGO","NOI","SST_39","SST_44","Upwelling_39","Upwelling_45","Wind_39","Wind_44","ENSO_cat","Year.of.Observation","SST_39_anom","SST_44_anom","Date_lag1","Date_lag2","Date_lag3"
"NOV",2011-11-01,-0.933,0.37422317,1.716,12.074,12.011,-10.4267,-99.002,-1.48637,2.506863,"La Nina",2011,-0.584083333333334,0.0786666666666669,2011-11-01,2011-11-01,2011-11-01
"NOV",2006-11-01,1.297,-0.99574655,0.905,13.124,11.509,15.5851,-163.2999,-0.45258,5.921389,"El Nino",2006,0.465916666666667,-0.423333333333332,2006-11-01,2006-11-01,2006-11-01
"NOV",2010-11-01,-1.472,0.9877614,4.024,12.109,12.084,64.1102,-77.927,-2.51564,2.10751,"La Nina",2010,-0.549083333333334,0.151666666666667,2010-11-01,2010-11-01,2010-11-01
"OCT",2006-10-01,0.976,-1.0489801,-1.142,13.379,11.106,97.2565,29.4158,-2.95789,-2.59973,"El Nino",2006,0.354923076923077,-2.12938461538462,2006-10-01,2006-10-01,2006-10-01
"OCT",2008-10-01,-0.681,1.7658828,2.203,11.854,12.943,113.2343,-16.1913,-3.05457,-0.195547,"La Nina",2008,-1.17007692307692,-0.292384615384616,2008-10-01,2008-10-01,2008-10-01
"OCT",2012-10-01,0.097,1.8664157,-0.19,14.165,11.551,42.7518,-33.4579,-1.4832,2.511989,"El Nino",2012,1.14092307692308,-1.68438461538462,2012-10-01,2012-10-01,2012-10-01
"OCT",2003-10-01,0.534,1.286991,0.415,12.176,13.157,55.2387,-87.169,-3.66366,1.230148,"El Nino",2003,-0.848076923076922,-0.0783846153846159,2003-10-01,2003-10-01,2003-10-01
"OCT",2015-10-01,2.256,-1.3069408,-4.079,16.107,14.604,78.3482,-27.3152,-1.84274,1.552459,"El Nino",2015,3.08292307692308,1.36861538461538,2015-10-01,2015-10-01,2015-10-01
"OCT",2005-10-01,-0.152,-0.8893114,2.172,12.47,12.7,69.2237,-55.1595,-2.59933,3.45593,"La Nina",2005,-0.554076923076922,-0.535384615384617,2005-10-01,2005-10-01,2005-10-01
"OCT",2007-10-01,-1.204,1.2687833,2.134,13.274,12.212,57.4057,-42.943,-1.72113,1.502561,"La Nina",2007,0.249923076923077,-1.02338461538462,2007-10-01,2007-10-01,2007-10-01
"OCT",2004-10-01,0.524,0.042904183,-2.109,12.834,13.086,40.2352,-6.5593,-1.33769,0.553763,"El Nino",2004,-0.190076923076923,-0.149384615384616,2004-10-01,2004-10-01,2004-10-01
"OCT",2014-10-01,0.45,0.42413825,-3.229,15.16,15.851,8.3674,-73.1466,-1.11007,2.247059,"El Nino",2014,2.13592307692308,2.61561538461538,2014-10-01,2014-10-01,2014-10-01
"OCT",2013-10-01,0.148,-0.14729041,0.932,11.048,14.253,132.3365,15.8949,-4.47547,-3.436425,"El Nino",2013,-1.97607692307692,1.01761538461538,2013-10-01,2013-10-01,2013-10-01
"OCT",2011-10-01,-0.917,1.2043564,1.415,13.231,14.467,72.4988,-24.1888,-3.01452,0.201752,"La Nina",2011,0.206923076923077,1.23161538461538,2011-10-01,2011-10-01,2011-10-01
"OCT",2010-10-01,-1.888,1.6057858,1.905,11.667,13.085,57.4747,-77.5496,-0.8832,1.205108,"La Nina",2010,-1.35707692307692,-0.150384615384615,2010-10-01,2010-10-01,2010-10-01
"OCT",2009-10-01,0.924,1.1538724,-0.416,11.948,13.045,76.372,-50.4866,-2.96371,1.116869,"El Nino",2009,-1.07607692307692,-0.190384615384616,2009-10-01,2009-10-01,2009-10-01
"SEP",2005-09-01,0.329,-1.5729473,3.341,12.23,12.095,121.8351,38.3074,-3.71014,-3.007083,"El Nino",2005,-0.62025,-1.43841666666667,2005-09-01,2005-09-01,2005-09-01
"SEP",2008-09-01,-0.545,2.2272398,-0.095,12.943,12.001,105.7112,32.7004,-2.39485,-2.869777,"La Nina",2008,0.0927499999999988,-1.53241666666667,2008-09-01,2008-09-01,2008-09-01
"SEP",2014-09-01,0.593,-0.7770938,-3.836,15.655,15.629,94.305,6.1141,-0.51624,-0.264167,"El Nino",2014,2.80475,2.09558333333333,2014-09-01,2014-09-01,2014-09-01
"SEP",2009-09-01,0.745,0.98406076,1.42,13.363,14.913,103.9553,2.7943,-4.17625,-0.816551,"El Nino",2009,0.512749999999999,1.37958333333333,2009-09-01,2009-09-01,2009-09-01
"SEP",2003-09-01,0.492,0.8692253,-1.554,12.329,11.635,165.3744,41.3239,-2.20912,-1.869425,"El Nino",2003,-0.52125,-1.89841666666667,2003-09-01,2003-09-01,2003-09-01
"SEP",2012-09-01,0.351,1.3583578,2.833,12.135,12.384,165.7925,48.6698,-3.0025,-2.835833,"El Nino",2012,-0.715250000000001,-1.14941666666667,2012-09-01,2012-09-01,2012-09-01
"SEP",2006-09-01,0.84,-0.33968976,0.579,11.585,13.387,157.4348,31.782,-4.38055,-2.405323,"El Nino",2006,-1.26525,-0.146416666666667,2006-09-01,2006-09-01,2006-09-01
"SEP",2010-09-01,-1.86,1.00388,1.166,11.989,13.946,110.8307,-10.1919,-3.11194,0.184145,"La Nina",2010,-0.86125,0.412583333333332,2010-09-01,2010-09-01,2010-09-01
"SEP",2013-09-01,-0.125,0.38973394,-0.257,13.911,16.042,86.0489,-37.976,-2.42601,1.192157,"La Nina",2013,1.06075,2.50858333333333,2013-09-01,2013-09-01,2013-09-01
"SEP",2007-09-01,-1.175,0.9092681,1.379,13.545,13.088,91.8116,20.4129,-2.55097,-1.815342,"La Nina",2007,0.694749999999999,-0.445416666666668,2007-09-01,2007-09-01,2007-09-01
"SEP",2004-09-01,0.591,0.3764023,0.674,12.487,15.12,129.2259,10.6987,-4.60825,-1.716389,"El Nino",2004,-0.363250000000001,1.58658333333333,2004-09-01,2004-09-01,2004-09-01
"SEP",2011-09-01,-0.751,1.3279155,0.291,12.031,12.161,119.9296,-13.6628,-2.41569,-0.328194,"La Nina",2011,-0.81925,-1.37241666666667,2011-09-01,2011-09-01,2011-09-01
