Date,CBA_South
2008-05-01T00:00:00Z,-0.28074604
2008-06-01T00:00:00Z,-0.23809336
2008-07-01T00:00:00Z,-0.21489106
2008-08-01T00:00:00Z,-0.21075602
2008-09-01T00:00:00Z,-0.22064333
2008-10-01T00:00:00Z,-0.17820077
2008-11-01T00:00:00Z,-0.05783364
2008-12-01T00:00:00Z,0.16865297
2009-01-01T00:00:00Z,-0.29455045
2009-02-01T00:00:00Z,-0.18100533
2009-03-01T00:00:00Z,-0.43533164
2009-04-01T00:00:00Z,-0.38218355
2009-05-01T00:00:00Z,-0.2968229
2009-06-01T00:00:00Z,-0.17050077
2009-07-01T00:00:00Z,-0.1963855
2009-08-01T00:00:00Z,-0.1348801
2009-09-01T00:00:00Z,-0.12686184
2009-10-01T00:00:00Z,-0.27190354
2009-11-01T00:00:00Z,-0.26520032
