"Year.of.Observation","Cetacean.Common.Name","cnt_all","strand_anom","cnt_HI","mean_HI","strand_anom_HI","MEI","NPGO","PDO","SST_39","SST_44","Upwelling_39","Upwelling_45","Wind_39","Wind_44","SST_39_anom","SST_44_anom"
2011,"Harbor porpoise",92,28.1333333333333,20,12.3571428571429,7.64285714285714,-0.887083333333333,0.8574107575,-1.23083333333333,11.890375,12.2397142857143,100.035358333333,-31.005225,-2.605775,0.291517727272727,-0.426427884615385,-0.25874880952381
2011,"Pacific white-sided dolphin",2,-0.230769230769231,1,1.2,-0.2,-0.887083333333333,0.8574107575,-1.23083333333333,11.890375,12.2397142857143,100.035358333333,-31.005225,-2.605775,0.291517727272727,-0.426427884615385,-0.25874880952381
2011,"Striped dolphin",1,-3.72727272727273,1,1.5,-0.5,-0.887083333333333,0.8574107575,-1.23083333333333,11.890375,12.2397142857143,100.035358333333,-31.005225,-2.605775,0.291517727272727,-0.426427884615385,-0.25874880952381
2012,"Gray whale",3,-5.73333333333333,1,2.4,-1.4,0.177333333333333,1.47684468833333,-1.1,11.5450833333333,11.54,102.981908333333,-46.621225,-2.62314166666667,1.83901057142857,-0.318829594017094,-0.528523832417583
2012,"Harbor porpoise",118,54.1333333333333,25,12.3571428571429,12.6428571428571,0.177333333333333,1.47684468833333,-1.1,11.5450833333333,11.54,102.981908333333,-46.621225,-2.62314166666667,1.83901057142857,-0.318829594017094,-0.528523832417583
2012,"Sperm whale",2,0.583333333333333,1,1.25,-0.25,0.177333333333333,1.47684468833333,-1.1,11.5450833333333,11.54,102.981908333333,-46.621225,-2.62314166666667,1.83901057142857,-0.318829594017094,-0.528523832417583
2013,"Fin whale",2,0.2,2,1.5,0.5,-0.0683333333333333,0.344294363333333,-0.5175,11.3266666666667,11.7335833333333,151.065383333333,0.634033333333333,-3.83557583333333,-0.875774416666667,-0.53724626068376,-0.334940499084248
2013,"Gray whale",8,-0.733333333333333,3,2.4,0.6,-0.0683333333333333,0.344294363333333,-0.5175,11.3266666666667,11.7335833333333,151.065383333333,0.634033333333333,-3.83557583333333,-0.875774416666667,-0.53724626068376,-0.334940499084248
2013,"Harbor porpoise",55,-8.86666666666667,14,12.3571428571429,1.64285714285714,-0.0683333333333333,0.344294363333333,-0.5175,11.3266666666667,11.7335833333333,151.065383333333,0.634033333333333,-3.83557583333333,-0.875774416666667,-0.53724626068376,-0.334940499084248
2013,"Rissos",4,1.66666666666667,1,1,0,-0.0683333333333333,0.344294363333333,-0.5175,11.3266666666667,11.7335833333333,151.065383333333,0.634033333333333,-3.83557583333333,-0.875774416666667,-0.53724626068376,-0.334940499084248
2013,"Unidentified",2,-2.2,1,1,0,-0.0683333333333333,0.344294363333333,-0.5175,11.3266666666667,11.7335833333333,151.065383333333,0.634033333333333,-3.83557583333333,-0.875774416666667,-0.53724626068376,-0.334940499084248
2014,"Dalls porpoise",6,0.642857142857143,2,1.5,0.5,0.507916666666667,-0.249523118333333,1.13083333333333,13.16075,12.4470833333333,97.0734083333333,-32.4760166666667,-1.97883,-0.1809957,1.29683707264957,0.37855950091575
2014,"Gray whale",12,3.26666666666667,4,2.4,1.6,0.507916666666667,-0.249523118333333,1.13083333333333,13.16075,12.4470833333333,97.0734083333333,-32.4760166666667,-1.97883,-0.1809957,1.29683707264957,0.37855950091575
2014,"Harbor porpoise",96,32.1333333333333,18,12.3571428571429,5.64285714285714,0.507916666666667,-0.249523118333333,1.13083333333333,13.16075,12.4470833333333,97.0734083333333,-32.4760166666667,-1.97883,-0.1809957,1.29683707264957,0.37855950091575
2014,"Humpback whale",4,1.07692307692308,2,1.71428571428571,0.285714285714286,0.507916666666667,-0.249523118333333,1.13083333333333,13.16075,12.4470833333333,97.0734083333333,-32.4760166666667,-1.97883,-0.1809957,1.29683707264957,0.37855950091575
2014,"Minke whale",1,0,1,1,0,0.507916666666667,-0.249523118333333,1.13083333333333,13.16075,12.4470833333333,97.0734083333333,-32.4760166666667,-1.97883,-0.1809957,1.29683707264957,0.37855950091575
