Date,MEI,NPGO,PDO,SST_39,SST_44,Upwelling_39,Upwelling_45,Wind_39,Wind_44,ENSO_cat
10/1/01,0.27,1.5004872,-1.31,10.629,12.062,298.5313,89.3747,-4.20282,-4.918977,El Nino
11/1/01,0.338,1.9150242,-0.77,12.296,13.69,208.1692,24.2675,-4.14266,-0.78065,El Nino
12/1/01,-0.165,1.8929954,-1.37,13.074,12.417,115.4726,35.4522,-2.59625,-2.518575,La Nina
1/1/02,-0.275,1.1619115,-1.37,11.805,11.601,116.9474,-1.7463,-2.00242,-0.912125,La Nina
2/1/02,-0.153,1.7645249,-1.26,11.887,11.22,-55.8818,-204.9565,0.99764,4.112763,La Nina
3/1/02,0.019,2.019483,-0.93,11.653,NA,-42.8813,-232.969,1.34919,NA,El Nino
4/1/02,0.009,1.8641573,0.27,NA,NA,-35.6473,-170.4299,NA,NA,El Nino
5/1/02,-0.176,2.1773567,-0.64,10.955,9.521,-0.5093,-69.5347,0.65471,0.990313,La Nina
6/1/02,-0.137,1.8982763,-0.43,10.738,9.269,88.8709,-61.7842,-2.04556,-0.104435,La Nina
7/1/02,0.401,0.89742213,-0.32,10.423,9.737,159.5626,17.8424,-2.28802,-1.857143,El Nino
8/1/02,0.851,1.102573,-0.63,10.649,11.301,263.7209,17.7108,-4.38758,-1.938608,El Nino
9/1/02,0.913,1.6053913,-0.35,10.266,13.759,448.8212,30.7702,-5.40278,-1.554039,El Nino
10/1/02,0.685,1.3822964,-0.31,11.008,12.872,213.171,74.4817,-3.08866,-3.537627,El Nino
11/1/02,1.017,0.8118436,0.6,12.011,11.569,201.8541,54.0114,-2.91862,-2.909973,El Nino
12/1/02,0.908,0.8244111,0.43,12.415,12.014,86.105,27.7803,-2.13672,-2.563649,El Nino
1/1/03,1,0.8236371,0.42,12.161,10.526,139.1258,22.5313,-3.04125,-2.074623,El Nino
2/1/03,1.09,1.6592152,1.51,12.58,11.016,-38.9512,-140.6537,-0.21947,2.441538,El Nino
